,time,pos-x,pos-y,pos-z,ori-x,ori-y,ori-z,ori-w
,3.48814220994e-05,0.0,0.0,0.0,0.0,1.0,,
0.0,2018-05-10 20:03:27.299442,-0.00565198130651,3.48814220994e-05,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:27.304757,-0.00565198130651,3.48814220994e-05,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:27.310839,-0.00565198130651,3.48814220994e-05,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:27.316152,-0.00565198130651,3.48814220994e-05,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:27.321868,-0.00565198130651,3.48814220994e-05,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:27.327674,-0.00565198130651,3.48814220994e-05,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:27.332502,-0.00565198130651,3.48814220994e-05,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:27.337590,-0.00565198130651,3.48814220994e-05,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:27.342896,-0.00565198130651,3.48814220994e-05,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:27.348830,-0.00565198130651,3.48814220994e-05,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:27.354262,-0.00565198130651,3.48814220994e-05,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:27.359841,-0.00565198130651,3.48814220994e-05,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:27.364708,-0.00565198130651,3.48814220994e-05,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:27.369694,-0.00565198130651,3.48814220994e-05,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:27.375250,-0.00565198130651,3.48814220994e-05,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:27.380556,-0.00565198130651,3.48814220994e-05,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:27.386315,-0.00565198130651,3.48814220994e-05,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:27.391839,-0.00565198130651,3.48814220994e-05,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:27.396750,-0.00565198130651,3.48814220994e-05,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:27.401896,-0.00565198130651,3.48814220994e-05,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:27.406680,-0.00565198130651,3.48814220994e-05,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:27.411623,-0.00565198130651,3.48814220994e-05,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:27.419653,-0.00565198130651,3.48814220994e-05,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:27.425784,-0.00565198130651,3.48814220994e-05,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:27.431319,-0.00565198130651,3.48814220994e-05,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:27.437341,-0.00565198130651,3.48814220994e-05,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:27.446456,-0.00565198130651,3.48814220994e-05,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:27.456862,-0.00565198130651,3.48814220994e-05,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:27.748588,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:27.957402,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:28.165654,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:28.366332,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:28.578740,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:28.788864,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:28.989006,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:29.198012,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:29.401234,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:29.608463,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:29.816395,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:30.017128,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:30.226425,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:30.439317,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:30.649312,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:30.857096,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:31.058310,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:31.267364,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:31.467815,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:31.676231,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:31.876848,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:32.077560,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:32.286349,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:32.495213,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,2018-05-10 20:03:32.708897,0.0,0.0,0.0,0.0,0.0,0.0,1.0
